,ticker,market_cap,fte,revenue,rev_per_fte
548,PTVE,"$1,730,560,000.00","16,200.00",$0.00,$0.00
562,RDFN,"$1,033,280,000.00","6,000.00",$0.00,$0.00
563,RDNT,"$1,128,630,000.00","9,000.00",$0.00,$0.00
564,RDWR,"$1,027,120,000.00","1,075.00",$0.00,$0.00
565,RELY,"$1,569,200,000.00","1,800.00",$0.00,$0.00
566,REPL,"$981,000,000.00",206.00,$0.00,$0.00
567,RES,"$1,496,440,000.00","2,250.00",$0.00,$0.00
568,RETA,"$1,181,760,000.00",346.00,$0.00,$0.00
550,PUMP,"$1,019,270,000.00","1,500.00",$0.00,$0.00
547,PTRA,"$1,145,200,000.00",938.00,$0.00,$0.00
527,PLAY,"$1,728,070,000.00","13,783.00",$0.00,$0.00
535,PRCT,"$1,682,960,000.00",234.00,$0.00,$0.00
528,PLMR,"$1,544,410,000.00",151.00,$0.00,$0.00
529,PLUS,"$1,450,280,000.00","1,577.00",$0.00,$0.00
530,PLYA,"$1,099,190,000.00","12,300.00",$0.00,$0.00
531,PMT,"$1,348,040,000.00",1.00,$0.00,$0.00
532,POLY,"$1,741,650,000.00","6,500.00",$0.00,$0.00
533,PRA,"$1,228,660,000.00","1,021.00",$0.00,$0.00
534,PRAA,"$1,548,310,000.00","3,444.00",$0.00,$0.00
536,PRG,"$978,820,000.00","2,023.00",$0.00,$0.00
546,PTNR,"$1,470,060,000.00","2,536.00",$0.00,$0.00
537,PRIM,"$1,176,500,000.00","10,810.00",$0.00,$0.00
538,PRLB,"$1,329,500,000.00","2,663.00",$0.00,$0.00
539,PRM,"$1,811,250,000.00",226.00,$0.00,$0.00
540,PRO,"$1,170,750,000.00","1,545.00",$0.00,$0.00
541,PROC,"$968,850,000.00","4,993.00",$0.00,$0.00
543,PRTA,"$1,531,650,000.00",82.00,$0.00,$0.00
544,PSFE,"$1,440,290,000.00","3,500.00",$0.00,$0.00
481,NWN,"$1,800,940,000.00","1,237.00",$0.00,$0.00
480,NWBI,"$1,712,050,000.00","2,188.00",$0.00,$0.00
479,NVRO,"$1,521,200,000.00",945.00,$0.00,$0.00
416,MFA,"$1,184,390,000.00",298.00,$0.00,$0.00
408,MCG,"$1,386,610,000.00","6,353.00",$0.00,$0.00
409,MCRI,"$1,181,970,000.00","2,650.00",$0.00,$0.00
410,MDGL,"$1,183,190,000.00",71.00,$0.00,$0.00
411,MDRX,"$1,733,240,000.00","8,000.00",$0.00,$0.00
413,MEG,"$1,145,670,000.00","2,700.00",$0.00,$0.00
