ticker,share
AAPL,10000
AMZN,100
AAPL,1450
ANET,1500
BAC,3700
CSCO,1650
COST,500
DIS,600
EEFT,700
FB,1000
GM,400
LIN,202
MCD,1000
MSFT,639
F,5500
PSX,900
PRU,1000
QCOM,1018
STOR,1000
TSLA,300
UPS,186
WFC,3000
WMT,743
AYX,400
AEP,621.61
AMGN,268.07
ANET,3100
TEAM,250
BAC,3035.63
CRM,300
CRWD,300
CSCO,1262.219
EPAM,250
GEVO,8000
HD,468.036
ITW,368.719
INTC,1838.147
JNJ,1019.76
JPM,2104.036
LMT,252.627
MCD,393.748
MU,750
MSFT,1000
NET,500
NMFC,10387.106
NXPI,550
PEP,411.272
QCOM,650
SBUX,1250
TGT,736
TSM,200
UPS,500
V,500
WM,491
WIX,97
AMD,200
AAPL,89
BRKB,20
KO,85
COST,100
IBM,32
JNJ,20
SNPS,100
TGT,30
AAPL,1450
ADBE,500
AMD,600
ANET,1500
BROS,300
CRSP,600
TEAM,307
INTU,100
MDB,100
MELI,90
NFLX,200
NOW,300
OKTA,260
PANW,100
PLTR,500
PYPL,700
QQQ,601
RGEN,100
SHOP,200
TTD,1000
TWLO,150
WIX,150
ZM,100
ZS,300
ALGN,100
CRNC,1000
DDOG,100
ETSY,100
FTNT,400
NVDA,1000
SWKS,300
TEAM,250
UPST,300
